Name	Latitude	Longitude
A6512	64.9631	-19.0208
A6517	64.9631	-19.0208
A6533	64.9631	-19.0208
A6541	64.9631	-19.0208
A6551	64.9631	-19.0208
A6552	64.9631	-19.0208
A7002	64.9631	-19.0208
A7028	56.2639	9.5018
A7029	56.2639	9.5018
A7043.2	64.9631	-19.0208
A7053	64.9631	-19.0208
A7057	64.9631	-19.0208
A7067	64.9631	-19.0208
A7073	64.9631	-19.0208
A7074	64.9631	-19.0208
A7093	56.2639	9.5018
A7094	64.9631	-19.0208
A7103	64.9631	-19.0208
A7116	64.9631	-19.0208
A7134	64.9631	-19.0208
A7138	64.9631	-19.0208
A7159	56.2639	9.5018
A7161	64.9631	-19.0208
A7168	64.9631	-19.0208
A7206	64.9631	-19.0208
AA10	56.2639	9.5018
BB32	56.2639	9.5018
BB34	56.2639	9.5018
BB35	56.2639	9.5018
BB36	56.2639	9.5018
BB37	56.2639	9.5018
BB38	56.2639	9.5018
AA11	56.2639	9.5018
AA13	56.2639	9.5018
BB40	56.2639	9.5018
BB41	56.2639	9.5018
CC19	56.2639	9.5018
DK1	56.2639	9.5018
DK2	56.2639	9.5018
DK3	56.2639	9.5018
DK4	56.2639	9.5018
DK6	56.2639	9.5018
DK8	56.2639	9.5018
DK12	56.2639	9.5018
DK13	56.2639	9.5018
DK16	56.2639	9.5018
DK17	56.2639	9.5018
DK21	56.2639	9.5018
E1	56.2639	9.5018
E3	56.2639	9.5018
E6	56.2639	9.5018
GL-1	56.2639	9.5018
GL-2	56.2639	9.5018
GL-3	56.2639	9.5018
GL-4	56.2639	9.5018
GL-7	56.2639	9.5018
GL-9	56.2639	9.5018
GL-10	56.2639	9.5018
GL-15	56.2639	9.5018
GL-16	56.2639	9.5018
GL-22	56.2639	9.5018
GL-26	56.2639	9.5018
GL-27	56.2639	9.5018
DK.H-2	56.2639	9.5018
DK.H-3	56.2639	9.5018
DK.H-7	56.2639	9.5018
DK.H-12	56.2639	9.5018
DK.H-14	56.2639	9.5018
GL.H-1	56.2639	9.5018
GL.H-2	56.2639	9.5018
GL.H-3	56.2639	9.5018
GL.H-4	56.2639	9.5018
GL.H-8	56.2639	9.5018
GL.H-14	56.2639	9.5018
GL.H-15	56.2639	9.5018
GL.H-20	56.2639	9.5018
IS.H-4	56.2639	9.5018
IS.H-6	56.2639	9.5018
K9	56.2639	9.5018
K7	56.2639	9.5018
K8	56.2639	9.5018
K5	56.2639	9.5018
K6	56.2639	9.5018
K1	56.2639	9.5018
K2	56.2639	9.5018
K4	56.2639	9.5018
NO.H-2	56.2639	9.5018
NO.H-4	56.2639	9.5018
NO.H-5	56.2639	9.5018
NO.H-6	56.2639	9.5018
NO.H-7	56.2639	9.5018
TU.H-1	56.2639	9.5018
